nom_plat,type_plat,accompagnement,criteres
poulet ra ti,viande,petit legumes,viande blanche
saumon grilla,poisson,petit legumes,poisson
steak de bauf,viande,petit legumes,viande rouge
quiche lorraine,viande,salade,viande blanche
risotto aux champignons,plat principal,salade,vegetarien
tarte pommes,dessert,,sucre
buf bourgignon,viande,petit legumes,viande rouge
salade niaoise,plat principal,,vegetarien
accras de morue,poisson,salade,poisson
ratatouille,plat principal,,vegetarien
omelette aux fines herbes,plat principal,petit legumes,vegetarien
filet de dorade,poisson,petit legumes,poisson
lasagnes,viande,salade,viande blanche
fromage de cha vre frais,plat principal,salade,vegetarien
terrine de lapin,viande,salade,viande blanche
