vin,criteres
Cornas Terres Brulées,viande rouge 
Cahors Grand Cru,viande rouge 
Hermitage Le chevalier de Sterimberg,viande rouge 
Clos Vougeot Le Petit Mauperthuis,viande rouge 
Rully,viande blanche 
Chambolle Musigny,viande rouge 
Gevrey Chambertin,viande rouge 
Morey Saint-Denis,viande rouge 
Bonnes Mares Grand Cru,viande rouge 
Grand Echezeaux Grand Cru,viande rouge 
Clos Vougeot Grand Cru,viande rouge 
Charmes Chambertin,viande rouge 
Bandol,viande rouge 
Châteauneuf du Pape,viande rouge 
Crozes-Hermitage,viande rouge 
Cornas : Cuvée Jana,viande rouge 
Hermitage Les Bessards,viande rouge 
Hermitage Ligne de Crête,viande rouge 
Hermitage,viande rouge 
Côtes du Vivarais,viande rouge 
Madiran,viande rouge 
Cahors : New Black Wine,viande rouge 
Margaux,viande rouge 
Saint-Emilion Premier GCC B,viande rouge 
Saint-Julien,viande rouge 
Pauillac,viande rouge 
Pessac-Léognan,viande rouge 
Les Brunes,viande rouge 
Minervois,viande rouge 
Domaine Lafage,viande rouge 
Barolo,viande rouge 
Brunello di Montalcino,viande rouge 
Rully 1er cru La Pucelle,poisson 
Chablis Grand Cru Valmur,poisson 
Chevalier Montrachet Grand Cru,poisson 
Sauternes,végétarien 
Sancerre Exils,poisson 
Sancerre Le Mont Damné,poisson 
Montlouis sur Loire,poisson 
Vouvray Vincent Foreau,végétarien 
Pouilly Fumé,poisson 
Condrieu Chery,poisson 
Magnum Prestige,végétarien 
  
