nom,description,source,criteres
les produits d’exception d’aux vins de france,nan,Vins de France Roanne,végétarien
les vins rouges d’exception (bouteille 75 cl) :,nan,Vins de France Roanne,végétarien
cornas terres brulées,", Jean-Luc Colombo 2013, 2017",Vins de France Roanne,viande rouge
"cahors grand cru,",Château du cèdre 2016,Vins de France Roanne,viande rouge
hermitage,", Le chevalier de Sterimberg 2018",Vins de France Roanne,viande rouge
clos vougeot le petit mauperthuis,", Domaine Rion 2016",Vins de France Roanne,viande rouge
rully,"1er cru  ""Préaux"" 2019 Domaine Jacqueson",Vins de France Roanne,viande blanche
chambolle musigny,"2015/2017/2018/2019 Domaine Arlaud,",Vins de France Roanne,viande rouge
gevrey chambertin,"2015/2017/2018/2019 Domaine Arlaud,",Vins de France Roanne,viande rouge
morey saint-denis,"2014/2015 Domaine Arlaud,",Vins de France Roanne,viande rouge
bonnes mares,"Grand Cru 2012/2013/2014 Domaine Arlaud,",Vins de France Roanne,végétarien
grand echezeaux,"Grand Cru 2017, Domaine Thenard",Vins de France Roanne,végétarien
clos vougeot grand cru :,"le petit Mauperthuis 2016, Domaine Daniel Rion et Fils",Vins de France Roanne,viande rouge
charmes chambertin :,Grand Cru 2016 Taupenot-Merme,Vins de France Roanne,viande rouge
bandol,"2015/2017/2018 Domaine Tempier,",Vins de France Roanne,viande rouge
châteauneuf du pape,"Les Quartz 2016 Le Clos du Caillou,",Vins de France Roanne,viande rouge
châteauneuf du pape :,Le Clos des Papes 2018,Vins de France Roanne,viande rouge
crozes-hermitage :,La Guiraude 2017/2018 Alain Graillot,Vins de France Roanne,viande rouge
crozes- hermitage :,Le Rouvre 2018 Yann Chave,Vins de France Roanne,viande rouge
cornas :,"Cuvée Jana 2018, Domaine Johann Michel",Vins de France Roanne,végétarien
hermitage les bessards :,"2015 Delas,",Vins de France Roanne,viande rouge
hermitage ligne de crête :,2015 Delas,Vins de France Roanne,viande rouge
hermitage :,2018 Yann Chave,Vins de France Roanne,viande rouge
côtes du vivarais :,La Syrare 2017 Domaine Alain Gallety,Vins de France Roanne,viande rouge
madiran :,"Cuvée Prestige 2002 Château Montus,",Vins de France Roanne,viande rouge
cahors :,"New Black Wine, Clos Triguedina 2011",Vins de France Roanne,végétarien
margaux,": Château Brane-Cantenac 2015,",Vins de France Roanne,viande rouge
saint-emilion,Premier GCC B Château Canon 2012,Vins de France Roanne,végétarien
saint-julien,Château Léoville Barton 2012,Vins de France Roanne,viande rouge
pauillac,Château Pontet Canet 2014,Vins de France Roanne,viande rouge
pessac-léognan,"Château Pape Clément 2015, Domaine de Chevalier 2012",Vins de France Roanne,viande rouge
les brunes : 2021,"Domaine Les Creisses,",Vins de France Roanne,viande rouge
minervois :,"La Livinière Le Viala 2016, La Livinière Clos d’Ora 2015,",Vins de France Roanne,viande rouge
domaine lafage (caisse bois 3 bouteilles),": en Maury Cuvée Miraille 2015, en Côte du Roussillon Cuvée Rieussol 2015, en Côte du Roussillon Cuvée Les Lloses 2015,",Vins de France Roanne,viande rouge
barolo,Domenico Clerico 2017,Vins de France Roanne,viande rouge
domenico,Clerico 2017,Vins de France Roanne,végétarien
brunello di montalcino,2013 La Fortuna,Vins de France Roanne,viande rouge
les vins blancs d’exception (bouteille 75 cl) :,nan,Vins de France Roanne,végétarien
chablis,"Grand Cru Valmur Jean Collet et Fils 2019, Domaine William Fèvre",Vins de France Roanne,végétarien
chevalier montrachet,Grand Cru 2013 Bouchard Père et Fils,Vins de France Roanne,végétarien
sauternes 2020,"Château d’Yquem 1er Cru supérieur,",Vins de France Roanne,végétarien
sancerre,Exils 2019 Francois Crochet,Vins de France Roanne,végétarien
montlouis sur loire clos de mosny 2021,Domaine de la Taille aux Loups,Vins de France Roanne,poisson
vouvray vincent foreau domaine du clos naudin :,"sec 2013, sec 2019, demi-sec 2017 et moëlleux 2018",Vins de France Roanne,végétarien
pouilly fumé,Silex 2017 Domaine Didier Dagueneau,Vins de France Roanne,poisson
condrieu chery 2020,André Perret,Vins de France Roanne,poisson
retrouvez également les vins d’exception en magnum prestige :,nan,Vins de France Roanne,végétarien
vin rouge :,"Hermitage 2019, Delas",Vins de France Roanne,végétarien
